guid,title,pubDate,description,link,media
,"b'Reassessing Reported Deaths and Estimated Infection Attack Rate during the First 6 Months of the COVID-19 Epidemic, Delhi, India'","b'Fri, 25 Feb 2022 05:00:00 GMT'",b'M. Pons-Salort et al.',b'https://wwwnc.cdc.gov/eid/article/28/4/21-0879_article',
,b'Recurrent SARS-CoV-2 RNA Detection after COVID-19 Illness Onset during Pregnancy',"b'Fri, 25 Feb 2022 05:00:00 GMT'",b'I. Griffin et al.',b'https://wwwnc.cdc.gov/eid/article/28/4/21-2354_article',
,"b'Genomic Epidemiology of Early SARS-CoV-2 Transmission Dynamics, Gujarat, India'","b'Thu, 24 Feb 2022 05:00:00 GMT'",b'J. Raghwani et al.',b'https://wwwnc.cdc.gov/eid/article/28/4/21-2053_article',
,b'Durability of Antibody Response and Frequency of SARS-CoV-2 Infection 6 Months after COVID-19 Vaccination in Healthcare Workers',"b'Thu, 24 Feb 2022 05:00:00 GMT'",b'E. D. Laing et al.',b'https://wwwnc.cdc.gov/eid/article/28/4/21-2037_article',
,"b'Hantavirus Pulmonary Syndrome in a COVID-19 Patient, Argentina, 2020'","b'Thu, 24 Feb 2022 05:00:00 GMT'",b'R. M. Coelho et al.',b'https://wwwnc.cdc.gov/eid/article/28/4/21-1837_article',
,b'Diminishing Immune Responses against Variants of Concern in Dialysis Patients 4 Months after SARS-CoV-2 mRNA Vaccination',"b'Wed, 23 Feb 2022 05:00:00 GMT'",b'A. Dulovic et al.',b'https://wwwnc.cdc.gov/eid/article/28/4/21-1907_article',
,"b'SARS-CoV-2 IgG Seroprevalence among Blood Donors as a Monitor of the COVID-19 Epidemic, Brazil'","b'Fri, 18 Feb 2022 05:00:00 GMT'",b'D. Chaves et al.',b'https://wwwnc.cdc.gov/eid/article/28/4/21-1961_article',
,"b'Early Circulation of SARS-CoV-2, Congo, 2020'","b'Fri, 18 Feb 2022 05:00:00 GMT'",b'N. Bonguili et al.',b'https://wwwnc.cdc.gov/eid/article/28/4/21-2476_article',
,"b'Increased COVID-19 Severity among Pregnant Patients Infected with SARS-CoV-2 Delta Variant, France'","b'Fri, 18 Feb 2022 05:00:00 GMT'",b'S. Zayet et al.',b'https://wwwnc.cdc.gov/eid/article/28/5/21-2080_article',
,"b'Community Transmission of SARS-CoV-2 Omicron Variant, South Korea, 2021'","b'Wed, 16 Feb 2022 05:00:00 GMT'",b'E. Kim et al.',b'https://wwwnc.cdc.gov/eid/article/28/4/22-0006_article',
,b'Multisystem Inflammatory Syndrome in Adult after First Dose of mRNA Vaccine',"b'Fri, 11 Feb 2022 05:00:00 GMT'",b'Y. Miyazato et al.',b'https://wwwnc.cdc.gov/eid/article/28/4/21-2585_article',
,"b'Amplification Artifact in SARS-CoV-2 Omicron Sequences Carrying P681R Mutation, New York, USA'","b'Thu, 03 Feb 2022 05:00:00 GMT'",b'A. Heguy et al.',b'https://wwwnc.cdc.gov/eid/article/28/4/22-0146_article',
